Code ICD-11,Nom de la maladie
1A01,Intestinal infection due to other Vibrio
1A02,Intestinal infections due to Shigella
1A03.0,Enteropathogenic Escherichia coli infection
1A03.1,Enterotoxigenic Escherichia coli infection
1A03.2,Enteroinvasive Escherichia coli infection
1A03.3,Enterohaemorrhagic Escherichia coli infection
1A03.Y,Intestinal infections due to other specified Escherichia coli
1A03.Z,Intestinal infections due to Escherichia coli
1A04,Enterocolitis due to Clostridium difficile
1A05,Intestinal infections due to Yersinia enterocolitica
1A06,Gastroenteritis due to Campylobacter
1A07.0,Typhoid peritonitis
1A07.Y,Other specified typhoid fever
1A07.Z,Typhoid fever
1A08,Paratyphoid Fever
1A09,Infections due to other Salmonella
1A0Y,Other specified bacterial intestinal infections
1A0Z,Bacterial intestinal infections
1A10,Foodborne staphylococcal intoxication
1A11.0,Foodborne intoxication by botulinum toxin
1A11.1,Other forms of botulism
1A11.Z,Botulism
1A12,Foodborne Clostridium perfringens intoxication
1A13,Foodborne Bacillus cereus intoxication
1A1Y,Other specified bacterial foodborne intoxications
1A1Z,Bacterial foodborne intoxications
1A20,Enteritis due to Adenovirus
1A21,Gastroenteritis due to Astrovirus
1A22,Gastroenteritis due to Rotavirus
1A23,Enteritis due to Norovirus
1A24,Intestinal infections due to Cytomegalovirus
1A2Y,Other specified viral intestinal infections
1A2Z,Viral intestinal infections
1A30,Infections due to Balantidium coli
1A31,Giardiasis
1A32,Cryptosporidiosis
1A33.0,Cystoisosporiasis of small intestine
1A33.1,Cystoisosporiasis of colon
1A33.Y,Other specified cystoisosporiasis
1A33.Z,Cystoisosporiasis
1A34,Sarcocystosis
1A35,Blastocystosis
1A36.00,Acute amoebiasis
1A36.01,Amoeboma of intestine
1A36.0Z,Intestinal infections due to Entamoeba
1A36.10,Amoebic liver abscess
1A36.11,Amoebic lung abscess
1A36.12,Cutaneous amoebiasis
1A36.1Y,Amoebiasis of other specified sites
1A36.Z,Amoebiasis
1A3Y,Other specified protozoal intestinal infections
1A3Z,Protozoal intestinal infections
1A40.0,Gastroenteritis or colitis without specification of origin
1A40.Z,Infectious gastroenteritis or colitis without specification of infectious agent
1A60.0,Early congenital syphilis
1A60.1,Early congenital syphilis
1A60.2,Late congenital syphilitic oculopathy
1A60.3,Late congenital neurosyphilis
1A60.4,Late congenital syphilis
1A60.5,Late congenital syphilis
1A60.Z,Congenital syphilis
1A61.0,Primary genital syphilis
1A61.1,Primary anal syphilis
1A61.2,Primary syphilis of other sites
